CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2011/091/000299,A Study to Evaluate the Safety and Efficacy of Anamorelin HCL in Patients with Non Small Cell Lung Cancer,Interventional,"Total: Completed
Indian: Completed","Patients with Non Small Cell Lung Cancer, Stage III b or IV",Anamorelin HCL,"Associate Professor,RAJASTHAN

Bhagwan Mahaveer Cancer Hospital,RAJASTHAN

Cancer Clinic 208,MAHARASHTRA

Dharamshila Cancer Hospital and Research Center,DELHI

Director Of Medical Oncology,MAHARASHTRA

Kamakshi Memorial Hospital,TAMIL NADU

Kaushalya Medical Foundation trust Hospital,MAHARASHTRA

Kodlikeri Memorial Hospital,BIHAR

Medical Oncologist,N/A

Medical Oncologist,,BIHAR

Noble Hospital,MAHARASHTRA

Ruby Hall Clinic,MAHARASHTRA

Senior Consultant & director, ,RAJASTHAN

Shatabdi Super Speacialty Hospital,N/A"
CTRI/2009/091/000302,A clinical trial to study the effects of study drug in patients with Non-Metastatic Hormaone resistant Prostrate Cancer Patients,,"Total: Open to Recruitment
Indian:",Non-metastatic Hormone-resistant Prostate Cancer Patients,ZD4054,", Fortis Flt. Lt. Rajan Dhall Hospital, Sector B, Pocket - 1, Aruna Asaf Ali Marg, Vasant Kunj,DELHI

Amrita Institute of Medical Sciences, Amrita Lane, Elamakkara Post,N/A

Christian Medical College Hospital,PUNJAB

Department of Urology, Motilal Nehru Medical College Hospital, Panna Lal Road,UTTAR PRADESH

Dept. of Urology, Sri Ramachandra Medical College (SRMC) & Research Institute, Porur,,TAMIL NADU

Grant Medical Foundation,MAHARASHTRA

Kidwai Memorial Institute of Oncology, Dr. M.H.Margowda Road,KARNATAKA

Muljibhai Patel Urological Hospital,N/A

Samved hospital, Near Stadium Circle, Navarangpura,GUJARAT

Sanjay Gandhi Post Graduate Institute of Medical Sciences,UTTAR PRADESH

Woodlands Medical Centre,WEST BENGAL"
CTRI/2009/091/000336,"A clinical trial to study the effective dose range of the study drug, Sativex, in patients with advanced cancer who experience inadequate pain relief during optimized chronic opioid therapy.",Interventional,"Total: Completed
Indian: Completed","Cancer pain

Neoplasm related pain (acute) (chronic)",Sativex,"All India Institute of Medical Sciences,DELHI

Apollo Hospital,ANDHRA PRADESH

Bangalore Institute of Oncology,KARNATAKA

Bhagwaan Mahaveer Cancer Hospital And Research Centre,RAJASTHAN

CBCC-Apollo Hospital,GUJARAT

CHL-Apollo Hospitals,MADHYA PRADESH

Deenanath Mangeshkar Hospital and Research Centre,MAHARASHTRA

Dharmshila Cancer Hospital & Research Centre,DELHI

Indo American Cancer Institute and Research Centre,ANDHRA PRADESH

Jawaharlal Nehru Cancer Hospital,MADHYA PRADESH

Jehangir Clinical Development Centre Pvt.Ltd.,MAHARASHTRA

Kashyap Oncology Centre, ,MAHARASHTRA

Meenakshi Mission Hospital & Research Centre,TAMIL NADU

MNJ institute of Oncology,ANDHRA PRADESH

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Regional Cancer Centre,N/A

Ruby Hall Clinic,MAHARASHTRA

S.L.Raheja Hospital,MAHARASHTRA

Saifee Hospital,MAHARASHTRA

Seroc Cancer Centre,RAJASTHAN

Yashoda Hospital,ANDHRA PRADESH"
CTRI/2009/091/000345,Study of Efficacy and Safety of MORAb-003 in Patients (Subjects) With Platinum-Sensitive Ovarian Cancer in First Relapse.,Interventional,"Total: Other (Terminated)
Indian: Other (Terminated)",Platinum sensitive Ovarian Cancer,MORAb-003 (farletzumab),"Amrita Institute Of Medical Sciences,,KERALA

Apollo Hospitals International Limited,GUJARAT

Chittaranjan National Cancer Institute,WEST BENGAL

Curie Manavata Cancer Centre,MAHARASHTRA

Department of Medical Oncology, Institute Rotary Cancer Hospital,,DELHI

Dr. Kamakshi Memorial Hospital Pvt. Ltd.,TAMIL NADU

Jehangir Clinical Development Centre Pvt. Ltd. ,MAHARASHTRA

Kidwai Memorial Institute of Oncology,KARNATAKA

Lakeshore Hospital & Research Centre Ltd.,KERALA

M. S. Ramaiah Curie Centre of Oncology,KARNATAKA

Regional Cancer Center,KERALA

Ruby Hall Clinic, ,MAHARASHTRA

SEAROC Cancer Center,RAJASTHAN

Shatabdi Superspeciality Hospital,,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000478,EGF106708 : Phase-III trial with adjuvant treatment of patients with ErbB2 overexpressing and/or amplified breast cancer who have undegone masectomy and have received at least four cycles of an approved anthracycline-based (neo-) adjuvant chemotherapy regimen.,Interventional,"Total: Completed
Indian: Completed",Breast cancer.,Drug: Lapatinib,"Apollo Hospital Educational and Research,DELHI

Central India Cancer Research Institute,MAHARASHTRA

Fortis Memorial Research Institute,HARYANA

Netaji Subhash Chandra Bose Cancer Research Institute,WEST BENGAL

NIMS, Department of Medical Oncology,ANDHRA PRADESH

Regional Cancer Center,KERALA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000362,Study Evaluating Bosutinib-Exemestane Combination Vs Exemestane Alone in Post Menopausal Women With Breast Cancer,Interventional,"Total: Other (Terminated)
Indian: Other (Terminated)",Locally Advanced or Metastatic Breast Cancer,Bosutinib,"Curie Manavata Cancer Centre,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital & Research Centre,MADHYA PRADESH

Jehangir Clinical Development Centre Private Limited,MAHARASHTRA

Kaushalya Medical Foundation Trust Hospital,MAHARASHTRA

SEAROC Cancer Centre,RAJASTHAN

Tata Memorial Centre,MAHARASHTRA"
CTRI/2009/091/000382,"A Multicenter, Open-Label, Randomized, Phase 2 Study to Evaluate the Efficacy and Safety of NKTR-102 (PEG-Irinotecan) Versus Irinotecan in Patients with Second-Line, Irinotecan-Naïve, KRAS-Mutant, Metastatic Colorectal Cancer (mCRC).",,"Total: Open to Recruitment
Indian:","Patients with Second-Line, Irinotecan-Naïve, KRAS-Mutant, Metastatic Colorectal Cancer (mCRC).",NKTR-102 (PEG-irinotecan),"Amrita Institute of Medical Sciences,N/A

B.P. Poddar Hospital and Medical Research Ltd.,WEST BENGAL

Chittaranjan National Cancer Institue,N/A

Curie Manavata Cancer Centre,MAHARASHTRA

Hemato-Oncology Clinic Ahmedabad Pvt.Ltd.,GUJARAT

Kaushalya Medical Foundation Trust Hospital,MAHARASHTRA

Kodlikeri Memorial Hospital,BIHAR

M.S. Ramaiah Memorial Hospitial,KARNATAKA

Mehendi Nawaz Jung Institute of Oncology and Regional Cancer Centre,ANDHRA PRADESH

Rajalakshmi Multispeciality Hospital,KARNATAKA

Shatabti Superspeciality Hospital,MAHARASHTRA"
CTRI/2009/091/000423,A clinical trial to study the effects of bevacizumab plus capecitabine vs. bevacizumab alone as maintenance therapy in patients with HER2-negative metastatic breast cancer that has not progressed during initial docetaxel plus bevacizumab therapy,Interventional,"Total: Completed
Indian: Completed",Metastatic breast cancer,"Bevacizumab

capecitabine","Bangalore Institute of Oncology,KARNATAKA

Bombay Hospital Institute of Medical Sciences,MAHARASHTRA

Indo American Cancer Inst. & Research Centre,ANDHRA PRADESH

Rajiv Gandhi Cancer Institute & Research Center,DELHI

Sir Ganga Ram Hospital,DELHI

TATA Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000477,EGF106903 : Phase-III trial in women with HER2/Erb2 positive primary breast cancer using neoadjuvant chemotherapy.,Interventional,"Total: Completed
Indian: Completed",Primary Breast Cancer,"Drug: Lapatinib

Drug:Lapatinib plus Trastuzumab","Apollo Hospitals Educational & Research Foundation (Spectra Clinical Research),DELHI

Central India Cancer Research Institute,MAHARASHTRA

Kidwai Memorial Institute of Oncology,KARNATAKA

Nizams Institute of Medical Sciences,ANDHRA PRADESH

Ruby Hall Clinic,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000441,A clinical trial to study the pharmacokinetic comparison of two formulations for Intravenous Infusion of Paclitaxel in Indain Patients with Metastatic Breast Cancer.,,"Total: Completed
Indian:",Metastatic Breast Cancer,Paclitaxel lipid suspension,"Jeevandip Hospital,GUJARAT

M S Patel Cancer Centre,GUJARAT

Mahavir Cancer Sansthan,BIHAR

Meeneakshi Mission Hospital and Rearch Centre,TAMIL NADU"
CTRI/2009/091/000495,EGF105485: Tykerb Evaluation After Chemotherapy (TEACH): Lapatinib Versus Placebo In Women With Early-Stage Breast Cancer,Interventional,"Total: Completed
Indian: Completed",ErbB2-overexpressing breast cancer,Drug: Lapatinib / Placebo,"All India Institute of Medical Sciences ,DELHI

Apollo Speciality Hospital,TAMIL NADU

Jehangir Hospital and Medical Centre,MAHARASHTRA

Nizam's Institute of Medical Sciences,ANDHRA PRADESH

Ruby Hall Clinic-Cancer Centre,MAHARASHTRA

SEAROC Cancer Centre,RAJASTHAN

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000498,"EGF110656 : LOGiC - Lapatinib Optimization Study in ErbB2 (HER2) Positive Gastric Cancer: A Phase III Global, Blinded Study Designed to Evaluate Clinical Endpoints and Safety of Chemotherapy Plus Lapatinib",Interventional,"Total: Completed
Indian: Completed","Locally advanced, unresectable, or metastatic gastric, esophageal, or gastro-esophageal junction cancer","Lapatinib

Capecitabine

Oxaliplatin","All India Institute of Medical Sciences (AIIMS),DELHI

Amrita Institute of Medical Sciences,KERALA

B. P. Poddar Hospital & Medical Research Limited,WEST BENGAL

Central India Cancer Research Institute,MAHARASHTRA

Chittaranjan National Cancer Institute,WEST BENGAL

G.Kuppuswamy Naidu Memorial Hospital,TAMIL NADU

Lakeshore Hospital & Research Centre Ltd,KERALA

Regional Cancer Centre,KERALA

Ruby Hall Clinic- Cancer Center ,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000499,ADJ109493 : A study to assess the efficacy of Antigen-Specific Cancer Immunotherapeutic as Adjuvant Therapy in Patients With Non-Small Cell Lung Cancer,,"Total: Completed
Indian: Completed",Non-Small Cell Lung Cancer,Biological: GSK1572932A Antigen-Specific Cancer Immunotherapeutic,"Bombay Hospital Institute of Medical Sciences,MAHARASHTRA

S L Raheja Hospital,MAHARASHTRA

Tata Memorial Centre,MAHARASHTRA

Vedanta Institute of Medical Sciences,GUJARAT"
CTRI/2009/091/000500,VEG20007 : Pazopanib Plus Lapatinib Compared To Lapatinib Alone In Subjects With Advanced Or Metastatic Breast Cancer,Interventional,"Total: Completed
Indian: Completed",Metastatic and locally advanced Breast Cancer,Lapatinib and Pazopanib,"Birla Cancer Centre,RAJASTHAN

Deenanath Mangeshkar Hospital and Research Centre,,MAHARASHTRA

Kidwai Memorial Institute of Oncology,KARNATAKA

Rajiv Gandhi Cancer Institute,DELHI

Regional Cancer Centre,,N/A

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000516,"VEG105424 : Study On Pazopanib When Given With FOLFOX6 (Fluorouracil, Oxaliplatin, Leucovorin) Or CapeOx (Capecitabine, Oxaliplatin)",,"Total: Completed
Indian: Completed",Colorectal cancer,"Pazopanib plus CapeOx

Pazopanib plus FOLFOX","NIMS,Medical Oncology Dept.,ANDHRA PRADESH

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000607,A clinical trial to compare the effects of two chemotherapy regimens (vinflunine plus capecitabine versus capecitabine alone) in patients with advanced breast cancer.,Interventional,"Total: Completed
Indian: Completed",Advanced Breast Cancer,Vinflunine plus Capecitabine,"Bhagwan Mahaveer Cancer Hospital & Research Centre,RAJASTHAN

Chittaranjan National Cancer Institute,WEST BENGAL

Goverment Medical College and Hospital Aurangabad - 431001,BIHAR

Jaslok Hospital and Research Centre,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital & Research Centre, Idgah Hills, Bhopal-462001, Madhya Pradesh,MADHYA PRADESH

Jehangir Hospital, 32 Sassion Road, Pune - 411001, Maharastra,MAHARASHTRA

Joshi Hospital,MAHARASHTRA

Kidwai Memorial Institute of Oncology, Dr M.H.Marigowda, Hosur Road, Banglore 560029, Karnataka,KARNATAKA

Malabar Institute of Medical Sciences, Mini by-pass road, Govindapuram P.O, Calicut,N/A

Oncology Department,MAHARASHTRA

Regional Cancer Centre,BIHAR

Regional Cancer Centre, Medical College Compound,N/A

SEAROC Cancer Centre,RAJASTHAN

Tata Memorial Hospital, Dr. E. Borges Road, Parel, Mumbai - 400012, Maharastra,MAHARASHTRA"
CTRI/2009/091/000559,Radiation Treatment Of Bladder Cancer With Tomotherapy/ Intensity Modulated Radio Therapy (IMRT),Interventional,"Total: Not Applicable
Indian: Completed",Muscle Invasive Bladder Cancer,Tomotherapy based IMRT,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000942,A Study of Neratinib Plus Paclitaxel Versus Trastuzumab Plus Paclitaxel as First-Line Treatment for ErbB-2-Positive Locally Recurrent or Metastatic Breast Cancer,Interventional,"Total: Completed
Indian: Completed",ErbB-2-Positive Locally Recurrent or Metastatic Breast Cancer,Neratinib + Paclitaxel,"B P Poddar and Medical Research Ltd.,WEST BENGAL

Central India Cancer Research Institute ,MAHARASHTRA

Curie Manavata Cancer Centre,N/A

Deenanath Mangeshkar Hospital and Research Centre,MAHARASHTRA

Institute Rotary Cancer Hospital, All India Institute of Medical Sciences,DELHI

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

SEAROC Cancer Centre, S.K. Soni Hospital,RAJASTHAN

Shatabdi Super Speciality Hospital ,MAHARASHTRA

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000660,"STRIDE - A Randomised, Double-Blind, Phase III Study of Stimuvax® in combination with Hormonal Treatment versus Hormonal Treatment alone for First-line Therapy of endocrine-sensitive Advanced Breast Cancer",,"Total: Suspended
Indian: Suspended",Breast Cancer,Investigational Arm - L-BLP25,"Kidwai Memorial Institute of Oncology,KARNATAKA

P. D. Hinduja National Hospita,MAHARASHTRA

Sir Ganga Ram Hospital,DELHI

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2009/091/000694,A clinical trial to study the effects of two drugs Peg G-CSF and Grafeel® in the prevention of reduction in neutrophil counts in cancer patients caused by drugs used to treat cancer.,,"Total: Open to Recruitment
Indian:",Adult patients with advanced NSCLC or metastatic breast cancer receiving cytotoxic chemotherapy (as per inclusion criteria) will be enrolled in the study.,PEG-GCSF,"Amrita institute of medical sciences,N/A

Apollo Specialty Hospital,TAMIL NADU

Artemis Medicare Services Pvt Ltd,HARYANA

Asian Institute of Oncology, S.L. Raheja Hospital,MAHARASHTRA

Dayanand Medical College & Hospital,PUNJAB

Hemato-Oncology Clinic, Vedanta Institute of Medical Science,GUJARAT

Indo American Cancer Institute and Research Centre,ANDHRA PRADESH

Jaslok Hospital,MAHARASHTRA

Jawaharlal Nehru Cancer Hospital & Research Centre,MADHYA PRADESH

Joshi Hospital,MAHARASHTRA

Lakeshore Hospital & Research Centre Ltd,N/A

Nizam's Institute of Medical Sciences,ANDHRA PRADESH

Orchid Nursing Home,WEST BENGAL

V.S. Hospitals Pvt. Ltd.,TAMIL NADU"
CTRI/2009/091/000767,A Study of V503 (Multivalent HPV Vaccine) in Preadolescents and Adolescents. This study will evaluate the immunogenicity and tolerability of V503 in preadolescent and adolescent subjects between 9 and 15 years old and demonstrate the consistency of the manufactured vaccine through assessment of 3 different final manufacturing process lots of V503.,Interventional,"Total: Completed
Indian: Completed","Cervical Cancer Vulvar Cancer Vaginal Cancer Genital Lesions PAP Test Abnormalities HPV Infections

Malignant neoplasm of cervix uteri, unspecified","1: Experimental Boys 9 to 15 years old

2: Experimental Young women 16 to 26 years old

4: Experimental Girls 9 to 15 years old - Vaccine Lot 2

3: Experimental Girls 9 to 15 years old - Vaccine Lot 1

5: ExperimentalGirls 9 to 15 years old - Vaccine Lot 3","All India Institute of Medical Sciences ,DELHI

Bharati Hospital And Research Center,MAHARASHTRA

Chacha Nehru Bal Chikitsalaya & MGM ,MADHYA PRADESH

Dayanand Medical College & Hospital,PUNJAB

Medical College Kolkata,WEST BENGAL

Nilofer Hospital,ANDHRA PRADESH

Spectrum Healthcare,MAHARASHTRA"
CTRI/2009/091/000790,Efficacy Study of XL184 in Adults With Medullary Thyroid Cancer.,Interventional,"Total: Completed
Indian: Completed",Medullary Thyroid Cancer.,1.Experimental - Drug: XL184,"All India Institute of Medical Sciences,DELHI

Central India Cancer Research Institute,MAHARASHTRA

Deenanath Mangeshkar Hospital & Research Center,MAHARASHTRA

Kidwai Memorial Institute Of Oncology,KARNATAKA

Netaji Subhash Chandra Bose Cancer Research Institute ,WEST BENGAL

Ruby Hall Clinic,MAHARASHTRA

SEAROC Cancer Centre,RAJASTHAN

Shatabdi Superspeciality Hospital,MAHARASHTRA

The Indo-American Cancer Institute & Research Centre,ANDHRA PRADESH"
CTRI/2009/091/000795,A clinical trial to study the safety and efficacy of Non-pegylated Liposomal Doxorubicin (Nudoxa) as compared to doxorubicin in patients with metastatic breast cancer.,Interventional,"Total: Not Applicable
Indian: Completed",Metastatic breast cancer,Non Pegylated Liposomal Doxorubicin (NPLD),"Govt. Medical College and Hospita,MAHARASHTRA

All India Institute of Medical Sciences (AIIMS),DELHI

Cancer Clinic,MAHARASHTRA

Curie Manavata Cancer Center,MAHARASHTRA

Dr. Rai Memorial Medical Centre,TAMIL NADU

Hemato Oncology clinic, Vedanta Institute of medical services,GUJARAT

Jaslok Hospital,MAHARASHTRA

Kodlikeri Memorial Hospital,MAHARASHTRA

Medipoint Hospitals Pvt,MAHARASHTRA

MS Patel Cancer Centre,GUJARAT

Naik Hospital,GUJARAT

Safdarjang Hospital,,DELHI

Sheth Nandlal Dhoot Hospital,BIHAR

Shreyas Medical clinic,GUJARAT

The Gujarat Cancer & Research Institute,GUJARAT

The Karnataka Cancer Therapy and Research Institute,,KARNATAKA"
CTRI/2009/091/000800,A phase 3 clinical trial to study the long term safety and efficacy of darbepoetin alfa drug in drug induced anemia patients.,Interventional,"Total: Completed
Indian: Completed","Malignant neoplasm of unspecifiedpart of bronchus or lung

Non-Small Cell Lung Cancer Anemia Cancer Lung Cancer",Arm A - Intervention: Drug: darbepoetin alfa 500 mcg,"Curi Manavata Cancer Centre,MAHARASHTRA

Dr. Rai Memorial Medical Centre,TAMIL NADU

Govt Medical College and Hospital, Aurangabad ,MAHARASHTRA

Jehangir Hospital ,MAHARASHTRA

K.L.E.S. Dr. Prabhakar Kore Hospital & Medical Research Centre,KARNATAKA

King Georges Medical University,UTTAR PRADESH

Manas Hospital,MAHARASHTRA

Meenakshi Mission Hospital and Research Centre,TAMIL NADU

National Institute of Tuberculosis and Respiratory Diseases,DELHI

Netaji Subhash Chandra Bose Cancer Research Institute, Kolkatta,WEST BENGAL

Noble Hospital,MAHARASHTRA

Pravara Institute of Medical Sciences,MAHARASHTRA

Prince Aly Khan Hospital Mumbai,MAHARASHTRA

Ruby Hall Clinic, Pune,MAHARASHTRA

S. K. Soni Hospital, Searoc Cancer Centre,RAJASTHAN

Sahyadri Hospitals Ltd.,MAHARASHTRA

Shatabdi Superspeciality Hospital, Nashik,MAHARASHTRA

Shri Sidhivinayak Ganapati Cancer Hospital, Sangli,MAHARASHTRA

SMS Medical College Hospital, Jaipur,RAJASTHAN

Tata Memorial Centre, Mumbai,MAHARASHTRA

United CIIGMA Institute of Medical Sciences Pvt. Ltd,MAHARASHTRA

Vintage Hospital and Medical Research Centre Pvt. Ltd,GOA"
